"","Sample","Eruption","Volume.km3.","num_min_age.wrt2000AD.","num_max_age.wrt2000AD.","Reference","Zone","SiO2","TiO2","Al2O3","FeOt","MgO","CaO","Na2O","K2O"
"216","TH40","Borgarhraun",0.9,8500,10300,"Skovgaard2001Peate2010","NNVZ",47.567,0.558,11.487,9.342,18.841,10.849,1.114,0.035
"217","l9304","Borgarhraun",0.9,8500,10300,"Slater2001","NNVZ",48.76,0.68,15.91,9.31,10.3,13.1,1.66,0.06
"218","l9305","Borgarhraun",0.9,8500,10300,"Slater2001","NNVZ",48.78,0.68,16.01,9.22,10.22,13.12,1.69,0.06
"219","l9306","Borgarhraun",0.9,8500,10300,"Slater2001Stracke2003a","NNVZ",48.82,0.69,15.86,9.39,10.19,13.1,1.66,0.07
"220","l9307","Borgarhraun",0.9,8500,10300,"Slater2001","NNVZ",48.53,0.63,16.1,9.13,10.81,12.87,1.65,0.06
"221","l9308","Borgarhraun",0.9,8500,10300,"Slater2001","NNVZ",48.97,0.7,15.95,9.39,9.89,13.07,1.75,0.07
"222","l9301","Einbui",0.1,12000,70000,"Maclennan2001","NNVZ",49.91,0.76,15.99,9.74,9.34,11.95,1.92,0.14
"223","l9302","Einbui",0.1,12000,70000,"Maclennan2001","NNVZ",49.63,0.71,16.23,9.37,9.6,12.19,1.92,0.12
"224","l9303","Einbui",0.1,12000,70000,"Maclennan2001","NNVZ",50.07,0.8,15.76,9.85,8.96,12.3,1.87,0.14
"225","408647","Langaviti",0.8,8500,10300,"Skovgaard2001Breddam2000Peate2010","NNVZ",48.665,0.607,13.197,8.469,14.626,12.819,1.362,0.046
"226","IT4elliott","Langaviti",0.8,8500,10300,"Slater2001Elliott1991","NNVZ",50.33,1.04,14.92,11.4,7.92,12.08,1.85,0.14
"227","l9367","Langaviti",0.8,8500,10300,"Slater2001","NNVZ",49.39,0.74,15.95,9.57,9.72,12.54,1.78,0.07
"228","l9416","Langaviti",0.8,8500,10300,"Slater2001Stracke2003a","NNVZ",49.51,0.75,15.57,9.74,9.43,12.9,1.84,0.07
"229","l9394","Langaviti",0.8,8500,10300,"Slater2001Stracke2003a","NNVZ",48.11,0.76,13.87,9.64,13.83,11.95,1.57,0.05
"230","l94112","Langaviti",0.8,8500,10300,"Slater2001Stracke2003a","NNVZ",48.64,0.75,14.27,9.57,12.26,12.6,1.66,0.05
